Maturity,r
0.002777777777777778,-0.00032
0.019444444444444445,-0.00013
0.03888888888888889,-0.00013
0.08333333333333333,7.000000000000001e-05
0.16666666666666666,0.00043
0.25,0.00083
0.5,0.00183
0.75,0.00251
1.0,0.00338
